from,to,distance_km,co2_kg
U1,U2,1.29,0.361
U2,U3,1.29,0.361
U1,U4,1.82,0.51
U2,U4,1.29,0.361
U2,U5,1.82,0.51
U3,U6,1.29,0.361
U4,U5,1.29,0.361
U5,U6,1.63,0.456
U4,U7,1.29,0.361
U5,U8,1.29,0.361
U6,U10,1.82,0.51
U7,U8,1.29,0.361
U8,U9,1.15,0.322
U9,U10,1.29,0.361
U5,U9,1.29,0.361
R1,R2,2.57,0.257
R2,R3,2.37,0.237
R1,R4,3.64,0.364
R2,R4,2.57,0.257
R3,R6,2.57,0.257
R4,R5,2.37,0.237
R5,R6,2.57,0.257
R4,R7,2.37,0.237
R5,R10,1.63,0.163
R7,R10,1.82,0.182
R7,R8,3.1,0.31
R8,R9,2.57,0.257
R6,R9,2.88,0.288
R8,R10,2.07,0.207
R5,R8,2.88,0.288
U3,R1,3.45,0.621
U10,R4,3.5,0.63
U6,R1,3.1,0.558
U9,R7,4.64,0.835
